[0509/103511.694:WARNING:render_frame_host_impl.cc(2751)] OnDidStopLoading was called twice.
[0509/103855.076:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · traceSip: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.076:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackViaTcp: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.078:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackIpInContact: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.078:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackWssInTransport: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.079:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackAllowUnregisteredOptionTags: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.080:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackCleanJitsiSdpImageattr: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.083:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackStripTcp: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.091:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · contactTransport: "wss"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.091:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · forceRport: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.092:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · autostart: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.092:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · rel100: "none"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.093:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · replaces: "none"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.093:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · mediaHandlerFactory: function promisifiedFactory(){var mediaHandler=mediaHandlerFactory.apply(this,arguments);function patchMethod(methodName){var method=mediaHandler[methodName];if(method.length>1){var callbacksFirst=methodName==="getDescription";mediaHandler[methodName]=SIP.Utils.promisify(mediaHandler,methodName,callbacksFirst)}}patchMethod("getDescription");patchMethod("setDescription");return mediaHandler}", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.093:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · authenticationFactory: undefined", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.093:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · allowLegacyNotifications: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.094:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · instanceId: "f088d504-c50d-46ee-a11a-d2e2cf9ab617"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.094:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · sipjsId: "sa1kj"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.095:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hostportParams: "endpoint.twilio.com"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.095:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · authorizationUser: "67eadd9a-ae3b-4e42-8094-ea4aa0548582"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.095:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · media: undefined", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.096:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.096:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.096:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.096:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.097:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.111:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | user requested closure...", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.114:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | closing registerContext", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.116:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.registercontext | already unregistered", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.626:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | configuration parameters after validation:", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.628:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · viaHost: "1vm3dekh7gq8.invalid"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.629:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · uri: sip:e56b19a3-3471-49f6-bddb-4b65ee6e88b9@endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.629:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServers: [{"ws_uri":"wss://endpoint.twilio.com","sip_uri":"<sip:endpoint.twilio.com;transport=ws;lr>","weight":0,"status":0,"scheme":"WSS"}]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.631:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · password: NOT SHOWN", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.638:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · registerExpires: 600", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.642:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · register: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.642:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · registrarServer: sip:endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.643:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerMaxReconnection: 3", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.647:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerReconnectionTimeout: 4", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.648:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMinInterval: 2", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.660:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMaxInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.661:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · keepAliveInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.662:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · extraSupported: ["room-signaling","timer"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.662:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · usePreloadedRoute: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.677:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · userAgentString: "SIP.js/0.7.7"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.678:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · iceCheckingTimeout: 5000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.679:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · noAnswerTimeout: 60000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.692:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · stunServers: ["stun:stun.l.google.com:19302"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.694:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · turnServers: []", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.695:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · traceSip: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.695:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackViaTcp: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.696:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackIpInContact: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.696:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackWssInTransport: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.697:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackAllowUnregisteredOptionTags: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.701:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackCleanJitsiSdpImageattr: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.701:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hackStripTcp: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.701:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · contactTransport: "wss"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.705:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · forceRport: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.706:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · autostart: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.707:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · rel100: "none"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.708:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · replaces: "none"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.708:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · mediaHandlerFactory: function promisifiedFactory(){var mediaHandler=mediaHandlerFactory.apply(this,arguments);function patchMethod(methodName){var method=mediaHandler[methodName];if(method.length>1){var callbacksFirst=methodName==="getDescription";mediaHandler[methodName]=SIP.Utils.promisify(mediaHandler,methodName,callbacksFirst)}}patchMethod("getDescription");patchMethod("setDescription");return mediaHandler}", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.708:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · authenticationFactory: undefined", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.709:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · allowLegacyNotifications: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.709:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · instanceId: "35956892-982e-4cde-972f-862681ea2cca"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.710:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · sipjsId: "sjrvk"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.710:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · hostportParams: "endpoint.twilio.com"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.710:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · authorizationUser: "e56b19a3-3471-49f6-bddb-4b65ee6e88b9"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.711:INFO:CONSOLE(118)] "Wed May 09 2018 10:38:55 GMT-0500 (Central Daylight Time) | sip.ua | · media: undefined", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/103855.712:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.712:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.712:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.712:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.712:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.857:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.864:INFO:CONSOLE(115)] "2018-05-09", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (115)
[0509/103855.891:INFO:CONSOLE(180)] "Unable to connect to Room: Permission denied", source: http://localhost:54352/VideoChat/Fms/TwilioCall.aspx?roomName= (180)
[0509/103900.437:INFO:CONSOLE(186)] "Leaving room...", source: http://localhost:54352/VideoChat/Fms/TwilioCall.aspx?roomName= (186)
[0509/103900.440:INFO:CONSOLE(187)] "Uncaught TypeError: Cannot read property 'disconnect' of undefined", source: http://localhost:54352/VideoChat/Fms/TwilioCall.aspx?roomName= (187)
[0509/104007.955:INFO:CONSOLE(186)] "Leaving room...", source: http://localhost:54352/VideoChat/Fms/TwilioCall.aspx?roomName= (186)
[0509/104007.955:INFO:CONSOLE(187)] "Uncaught TypeError: Cannot read property 'disconnect' of undefined", source: http://localhost:54352/VideoChat/Fms/TwilioCall.aspx?roomName= (187)
[0509/104300.305:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | configuration parameters after validation:", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.306:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · viaHost: "bcavokdr0rpp.invalid"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.306:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · uri: sip:d40c9089-2a14-4f78-beae-52e429b0193a@endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.307:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · wsServers: [{"ws_uri":"wss://endpoint.twilio.com","sip_uri":"<sip:endpoint.twilio.com;transport=ws;lr>","weight":0,"status":0,"scheme":"WSS"}]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.307:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · password: NOT SHOWN", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.307:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · registerExpires: 600", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.309:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · register: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.311:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · registrarServer: sip:endpoint.twilio.com", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.313:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerMaxReconnection: 3", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.313:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · wsServerReconnectionTimeout: 4", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.314:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMinInterval: 2", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.315:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · connectionRecoveryMaxInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.315:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · keepAliveInterval: 30", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.316:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · extraSupported: ["room-signaling","timer"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.316:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · usePreloadedRoute: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.316:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · userAgentString: "SIP.js/0.7.7"", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.317:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · iceCheckingTimeout: 5000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.317:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · noAnswerTimeout: 60000", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.318:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · stunServers: ["stun:stun.l.google.com:19302"]", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.318:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · turnServers: []", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.318:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · traceSip: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.319:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · hackViaTcp: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.319:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · hackIpInContact: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.319:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · hackWssInTransport: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.319:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · hackAllowUnregisteredOptionTags: true", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
[0509/104300.319:INFO:CONSOLE(118)] "Wed May 09 2018 10:43:00 GMT-0500 (Central Daylight Time) | sip.ua | · hackCleanJitsiSdpImageattr: false", source: http://localhost:54352/VideoChat/Fms/UselessScript.js (118)
